Date,USD_rate,Inflation_rate,gold_price_USD,gold_price_NPR,interest_rate,festivals/weeding,nepse_index
11/13/2025,141.87,0.0417,4171.46,243541,0.06,0,2559.01
11/12/2025,141.815,0.0417,4198.73,245038,0.06,0,2569.52
11/11/2025,141.715,0.0417,4126.68,240664,0.06,0,2569.99
11/10/2025,141.925,0.0417,4115.9,240391,0.06,0,2576.85
11/7/2025,141.865,0.0417,3999.72,233506,0.06,0,2599.27
11/6/2025,141.79,0.0417,3977.87,232108,0.06,0,2622.44
11/5/2025,141.855,0.0417,3982.62,232492,0.06,0,2612.53
11/4/2025,141.855,0.0417,3932.05,229539,0.06,0,2627.56
11/3/2025,142.05,0.0417,4001.67,233925,0.06,0,2650.61
10/31/2025,142.03,0.0417,4002.28,233928,0.06,0,2638.12
10/30/2025,141.92,0.0417,4024.47,235042,0.06,0,2605.5
10/29/2025,141.12,0.0417,3930.38,228253,0.06,0,2602.98
10/28/2025,141.23,0.0417,3952.58,229721,0.06,0,2576.41
10/27/2025,141.2,0.0417,3981.59,231358,0.06,0,2509.08
10/24/2025,140.77,0.0417,4112.1,238214,0.06,0,2580.325
10/23/2025,140.77,0.0417,4126.17,239029,0.06,2,2580.325
10/22/2025,140.77,0.0417,4094.07,237170,0.06,2,2580.325
10/21/2025,140.77,0.0417,4125.1,238967,0.06,2,2580.325
10/20/2025,140.77,0.0417,4356.5,252372,0.06,2,2507.12
10/17/2025,140.77,0.0417,4249.98,246202,0.06,0,2580.325
10/16/2025,140.52,0.0417,4326.18,250171,0.06,0,2522.59
10/15/2025,140.93,0.0417,4208.58,244080,0.06,0,2528.59
10/14/2025,142.085,0.0417,4142.31,242206,0.06,0,2553.57
10/13/2025,141.88,0.0417,4110.7,240011,0.06,0,2547.81
10/10/2025,141.905,0.0417,4018.3,234657,0.06,0,2584.24
10/9/2025,142.06,0.0417,3976.29,232458,0.06,0,2677.09
10/8/2025,142.085,0.0417,4038.9,236159,0.06,0,2610.31
10/7/2025,142.045,0.0417,3983.82,232873,0.06,0,2664.99
10/6/2025,142.055,0.0417,3961.09,231561,0.06,0,2580.325
10/3/2025,142.045,0.0417,3886.83,227204,0.06,0,2580.325
10/2/2025,141.91,0.0417,3856.53,225218,0.06,0,2580.325
10/1/2025,141.91,0.0417,3865.8,225760,0.06,3,2580.325
9/30/2025,142.07,0.0187,3858.51,225588,0.06,3,2711.84
9/29/2025,142.025,0.0187,3833.93,224080,0.06,3,2671.68
9/26/2025,141.955,0.0187,3760.24,219665,0.06,3,2711.84
9/25/2025,141.87,0.0187,3749.37,218898,0.06,3,2661.42
9/24/2025,141.91,0.0187,3736.29,218196,0.06,3,2689.67
9/23/2025,142.015,0.0187,3764.19,219988,0.06,3,2682.28
9/22/2025,141.3,0.0187,3746.47,217850,0.06,3,2711.84
9/19/2025,140.95,0.0187,3684.98,213744,0.06,0,2634.55
9/18/2025,141.01,0.0187,3644.36,211478,0.06,0,2637.97
9/17/2025,140.51,0.0187,3660.04,211635,0.06,0,2711.84
9/16/2025,140.89,0.0187,3689.8,213932,0.06,0,2712.84
9/15/2025,141.145,0.0187,3679.13,213700,0.06,0,2713.84
9/12/2025,141.25,0.0187,3643.13,211766,0.06,0,2714.84
9/11/2025,141.515,0.0187,3634.09,211637,0.06,0,2715.84
9/10/2025,140.97,0.0187,3640.74,211208,0.06,0,2716.84
9/9/2025,140.97,0.0187,3626.48,210381,0.06,0,2717.84
9/8/2025,141.23,0.0187,3635.84,211313,0.06,0,2711.84
9/5/2025,141.23,0.0187,3586.81,208463,0.06,0,2727.47
9/4/2025,141.04,0.0187,3546.17,205824,0.06,0,2732.75
9/3/2025,140.92,0.0187,3559.43,206418,0.06,0,2749.88
9/2/2025,141.055,0.0187,3533.73,205124,0.06,0,2791.67
9/1/2025,141.12,0.0187,3476.47,201893,0.06,0,2773.69
8/29/2025,141.12,0.0168,3448.0,200239,0.06,0,2784.56
8/28/2025,140.21,0.0168,3417.2,197171,0.06,0,2824.85
8/27/2025,140.295,0.0168,3397.42,196149,0.06,0,2822.79
8/26/2025,140.295,0.0168,3392.88,195886,0.06,0,2775.09
8/25/2025,140.135,0.0168,3366.79,194158,0.06,0,2764.95
8/22/2025,140.055,0.0168,3372.11,194354,0.06,0,2770.8
8/21/2025,139.64,0.0168,3338.81,191865,0.06,0,2775.34
8/20/2025,139.31,0.0168,3347.11,191887,0.06,0,2783.02
8/19/2025,139.13,0.0168,3315.46,189827,0.06,0,2796.88
8/18/2025,139.77,0.0168,3330.55,191568,0.06,0,2779.68
8/15/2025,140.09,0.0168,3335.39,192286,0.06,0,2803.25
8/14/2025,140.09,0.0168,3336.5,192350,0.06,0,2802.14
8/13/2025,139.91,0.0168,3354.73,193152,0.06,0,2813.59
8/12/2025,140.35,0.0168,3346.2,193267,0.06,0,2828.57
8/11/2025,140.265,0.0168,3344.83,193071,0.06,0,2875.45
8/8/2025,140.265,0.0168,3398.78,196185,0.06,0,2803.25
8/7/2025,140.33,0.0168,3397.31,196191,0.06,0,2861.34
8/6/2025,140.38,0.0168,3369.04,194628,0.06,0,2856.63
8/5/2025,140.49,0.0168,3381.27,195487,0.06,0,2906.24
8/4/2025,140.255,0.0168,3373.37,194705,0.06,0,2890.05
8/1/2025,140.07,0.0168,3362.88,193843,0.06,0,2923.88
7/31/2025,140.16,0.022,3290.32,189782,0.06,0,2967.03
7/30/2025,139.88,0.022,3275.25,188536,0.06,0,3020.17
7/29/2025,138.91,0.022,3326.84,190178,0.06,0,3028.79
7/28/2025,138.67,0.022,3314.64,189153,0.06,0,2976.92
7/25/2025,138.43,0.022,3337.18,190109,0.06,0,3013.17
7/24/2025,138.255,0.022,3368.15,191631,0.06,0,2990.45
7/23/2025,138.26,0.022,3387.78,192755,0.06,0,2992.26
7/22/2025,138.195,0.022,3431.5,195151,0.06,0,2975.77
7/21/2025,138.075,0.022,3395.8,192953,0.06,0,2902.94
7/18/2025,137.845,0.022,3350.4,190056,0.06,0,2922.84
7/17/2025,137.73,0.022,3338.95,189248,0.06,0,2878.77
7/16/2025,137.51,0.022,3346.58,189378,0.06,0,2803.78
7/15/2025,137.305,0.022,3322.63,187742,0.06,0,2763.27
7/14/2025,137.585,0.022,3343.8,189324,0.06,0,2765.91
7/11/2025,137.29,0.022,3355.91,189602,0.06,0,2798.75
7/10/2025,137.025,0.022,3323.07,187384,0.06,0,2743.09
7/9/2025,137.085,0.022,3313.72,186939,0.06,0,2707.91
7/8/2025,137.12,0.022,3300.7,186252,0.06,0,2690.13
7/7/2025,137.37,0.022,3335.61,188565,0.06,0,2718.1
7/4/2025,136.635,0.022,3336.64,187614,0.06,0,2721.58
7/3/2025,136.505,0.022,3326.57,186870,0.06,0,2716.93
7/2/2025,137.13,0.022,3357.36,189463,0.06,0,2696.13
7/1/2025,136.84,0.022,3339.21,188040,0.06,0,2663.24
6/30/2025,137.215,0.0272,3303.69,186550,0.065,0,2638.72
6/27/2025,136.77,0.0272,3274.25,184288,0.065,0,2626.21
6/26/2025,137.135,0.0272,3328.06,187816,0.065,0,2617.65
6/25/2025,137.73,0.0272,3332.46,188881,0.065,0,2607.71
6/24/2025,137.57,0.0272,3324.2,188193,0.065,0,2629.26
6/23/2025,138.81,0.0272,3368.88,192442,0.065,0,2608.56
6/20/2025,138.545,0.0272,3368.23,192038,0.065,0,2631.82
6/19/2025,138.765,0.0272,3370.75,192486,0.065,0,2661.33
6/18/2025,138.37,0.0272,3369.09,191844,0.065,0,2662.69
6/17/2025,137.99,0.0272,3388.74,192433,0.065,0,2670.25
6/16/2025,137.71,0.0272,3383.2,191729,0.065,0,2679.74
6/13/2025,137.735,0.0272,3432.64,194566,0.065,0,2667.68
6/12/2025,136.97,0.0272,3385.29,190816,0.065,0,2672.42
6/11/2025,136.825,0.0272,3353.84,188843,0.065,0,2686.45
6/10/2025,136.97,0.0272,3323.02,187306,0.065,0,2683.25
6/9/2025,137.0,0.0272,3328.33,187647,0.065,0,2657.34
6/6/2025,137.01,0.0272,3310.17,186636,0.065,0,2645.22
6/5/2025,137.27,0.0272,3354.16,189476,0.065,0,2661.77
6/4/2025,137.45,0.0272,3376.54,190990,0.065,0,2664.59
6/3/2025,136.95,0.0272,3352.25,188926,0.065,0,2699.28
6/2/2025,136.62,0.0272,3380.21,190043,0.065,0,2726.6
5/30/2025,136.93,0.0277,3289.4,185357,0.065,0,2696.78
5/29/2025,136.82,0.0277,3317.02,186763,0.065,0,2678.915
5/28/2025,136.585,0.0277,3289.76,184910,0.065,0,2678.915
5/27/2025,136.535,0.0277,3300.68,185456,0.065,0,2684.77
5/26/2025,136.145,0.0277,3342.94,187294,0.065,0,2745.89
5/23/2025,136.35,0.0277,3357.42,188389,0.065,0,2703.78
5/22/2025,137.61,0.0277,3295.0,186595,0.065,0,2705.56
5/21/2025,137.03,0.0277,3314.99,186935,0.065,0,2771.47
5/20/2025,137.025,0.0277,3290.12,185526,0.065,0,2681.58
5/19/2025,136.65,0.0277,3229.85,181629,0.065,0,2639.69
5/16/2025,136.815,0.0277,3202.77,180324,0.065,0,2625.26
5/15/2025,136.89,0.0277,3240.87,182569,0.065,0,2628.67
5/14/2025,136.44,0.0277,3178.75,178481,0.065,0,2642.96
5/13/2025,136.535,0.0277,3248.47,182523,0.065,0,2669.28
5/12/2025,136.6,0.0277,3234.7,181835,0.065,0,2678.915
5/9/2025,136.6,0.0277,3324.63,186891,0.065,0,2692.5
5/8/2025,137.145,0.0277,3305.52,186558,0.065,0,2687.38
5/7/2025,135.73,0.0277,3365.21,187967,0.065,0,2676.25
5/6/2025,135.1,0.0277,3430.21,190708,0.065,0,2625.7
5/5/2025,134.81,0.0277,3334.5,184989,0.065,0,2630.36
5/2/2025,135.335,0.0277,3240.88,180496,0.065,0,2645.67
5/1/2025,135.19,0.0277,3241.0,180309,0.065,0,2678.915
4/30/2025,135.19,0.0339,3288.59,182957,0.065,0,2642.07
4/29/2025,136.43,0.0339,3317.18,186240,0.065,0,2666.54
4/28/2025,136.055,0.0339,3341.67,187099,0.065,0,2676.05
