Date,USD_rate,Inflation_rate,gold_price_USD, gold_price_NPR ,interest_rate,festivals/weeding,nepse_index
11/13/2025,141.87,0.0417,"4,171.46"," 243,541 ",0.06,NaN,2559.01
11/12/2025,141.815,0.0417,"4,198.73"," 245,038 ",0.06,NaN,2569.52
11/11/2025,141.715,0.0417,"4,126.68"," 240,664 ",0.06,NaN,2569.99
11/10/2025,141.925,0.0417,"4,115.90"," 240,391 ",0.06,NaN,2576.85
11/7/2025,141.865,0.0417,"3,999.72"," 233,506 ",0.06,NaN,2599.27
11/6/2025,141.79,0.0417,"3,977.87"," 232,108 ",0.06,NaN,2622.44
11/5/2025,141.855,0.0417,"3,982.62"," 232,492 ",0.06,NaN,2612.53
11/4/2025,141.855,0.0417,"3,932.05"," 229,539 ",0.06,NaN,2627.56
11/3/2025,142.05,0.0417,"4,001.67"," 233,925 ",0.06,NaN,2650.61
10/31/2025,142.03,0.0417,"4,002.28"," 233,928 ",0.06,NaN,2638.12
10/30/2025,141.92,0.0417,"4,024.47"," 235,042 ",0.06,NaN,2605.5
10/29/2025,141.12,0.0417,"3,930.38"," 228,253 ",0.06,NaN,2602.98
10/28/2025,141.23,0.0417,"3,952.58"," 229,721 ",0.06,NaN,2576.41
10/27/2025,141.2,0.0417,"3,981.59"," 231,358 ",0.06,NaN,2509.08
10/24/2025,140.77,0.0417,"4,112.10"," 238,214 ",0.06,NaN,2580.325
10/23/2025,140.77,0.0417,"4,126.17"," 239,029 ",0.06,Tihar,2580.325
10/22/2025,140.77,0.0417,"4,094.07"," 237,170 ",0.06,Tihar,2580.325
10/21/2025,140.77,0.0417,"4,125.10"," 238,967 ",0.06,Tihar,2580.325
10/20/2025,140.77,0.0417,"4,356.50"," 252,372 ",0.06,Tihar,2507.12
10/17/2025,140.77,0.0417,"4,249.98"," 246,202 ",0.06,NaN,2580.325
10/16/2025,140.52,0.0417,"4,326.18"," 250,171 ",0.06,NaN,2522.59
10/15/2025,140.93,0.0417,"4,208.58"," 244,080 ",0.06,NaN,2528.59
10/14/2025,142.085,0.0417,"4,142.31"," 242,206 ",0.06,NaN,2553.57
10/13/2025,141.88,0.0417,"4,110.70"," 240,011 ",0.06,NaN,2547.81
10/10/2025,141.905,0.0417,"4,018.30"," 234,657 ",0.06,NaN,2584.24
10/9/2025,142.06,0.0417,"3,976.29"," 232,458 ",0.06,NaN,2677.09
10/8/2025,142.085,0.0417,"4,038.90"," 236,159 ",0.06,NaN,2610.31
10/7/2025,142.045,0.0417,"3,983.82"," 232,873 ",0.06,NaN,2664.99
10/6/2025,142.055,0.0417,"3,961.09"," 231,561 ",0.06,NaN,2580.325
10/3/2025,142.045,0.0417,"3,886.83"," 227,204 ",0.06,NaN,2580.325
10/2/2025,141.91,0.0417,"3,856.53"," 225,218 ",0.06,NaN,2580.325
10/1/2025,141.91,0.0417,"3,865.80"," 225,760 ",0.06,Dashian,2580.325
9/30/2025,142.07,0.0187,"3,858.51"," 225,588 ",0.06,Dashian,2711.84
9/29/2025,142.025,0.0187,"3,833.93"," 224,080 ",0.06,Dashian,2671.68
9/26/2025,141.955,0.0187,"3,760.24"," 219,665 ",0.06,Dashian,2711.84
9/25/2025,141.87,0.0187,"3,749.37"," 218,898 ",0.06,Dashian,2661.42
9/24/2025,141.91,0.0187,"3,736.29"," 218,196 ",0.06,Dashian,2689.67
9/23/2025,142.015,0.0187,"3,764.19"," 219,988 ",0.06,Dashian,2682.28
9/22/2025,141.3,0.0187,"3,746.47"," 217,850 ",0.06,Dashian,2711.84
9/19/2025,140.95,0.0187,"3,684.98"," 213,744 ",0.06,NaN,2634.55
9/18/2025,141.01,0.0187,"3,644.36"," 211,478 ",0.06,NaN,2637.97
9/17/2025,140.51,0.0187,"3,660.04"," 211,635 ",0.06,NaN,2711.84
9/16/2025,140.89,0.0187,"3,689.80"," 213,932 ",0.06,NaN,2712.84
9/15/2025,141.145,0.0187,"3,679.13"," 213,700 ",0.06,NaN,2713.84
9/12/2025,141.25,0.0187,"3,643.13"," 211,766 ",0.06,NaN,2714.84
9/11/2025,141.515,0.0187,"3,634.09"," 211,637 ",0.06,NaN,2715.84
9/10/2025,140.97,0.0187,"3,640.74"," 211,208 ",0.06,NaN,2716.84
9/9/2025,140.97,0.0187,"3,626.48"," 210,381 ",0.06,NaN,2717.84
9/8/2025,141.23,0.0187,"3,635.84"," 211,313 ",0.06,NaN,2711.84
9/5/2025,141.23,0.0187,"3,586.81"," 208,463 ",0.06,NaN,2727.47
9/4/2025,141.04,0.0187,"3,546.17"," 205,824 ",0.06,NaN,2732.75
9/3/2025,140.92,0.0187,"3,559.43"," 206,418 ",0.06,NaN,2749.88
9/2/2025,141.055,0.0187,"3,533.73"," 205,124 ",0.06,NaN,2791.67
9/1/2025,141.12,0.0187,"3,476.47"," 201,893 ",0.06,NaN,2773.69
8/29/2025,141.12,0.0168,"3,448.00"," 200,239 ",0.06,NaN,2784.56
8/28/2025,140.21,0.0168,"3,417.20"," 197,171 ",0.06,NaN,2824.85
8/27/2025,140.295,0.0168,"3,397.42"," 196,149 ",0.06,NaN,2822.79
8/26/2025,140.295,0.0168,"3,392.88"," 195,886 ",0.06,NaN,2775.09
8/25/2025,140.135,0.0168,"3,366.79"," 194,158 ",0.06,NaN,2764.95
8/22/2025,140.055,0.0168,"3,372.11"," 194,354 ",0.06,NaN,2770.8
8/21/2025,139.64,0.0168,"3,338.81"," 191,865 ",0.06,NaN,2775.34
8/20/2025,139.31,0.0168,"3,347.11"," 191,887 ",0.06,NaN,2783.02
8/19/2025,139.13,0.0168,"3,315.46"," 189,827 ",0.06,NaN,2796.88
8/18/2025,139.77,0.0168,"3,330.55"," 191,568 ",0.06,NaN,2779.68
8/15/2025,140.09,0.0168,"3,335.39"," 192,286 ",0.06,NaN,2803.25
8/14/2025,140.09,0.0168,"3,336.50"," 192,350 ",0.06,NaN,2802.14
8/13/2025,139.91,0.0168,"3,354.73"," 193,152 ",0.06,NaN,2813.59
8/12/2025,140.35,0.0168,"3,346.20"," 193,267 ",0.06,NaN,2828.57
8/11/2025,140.265,0.0168,"3,344.83"," 193,071 ",0.06,NaN,2875.45
8/8/2025,140.265,0.0168,"3,398.78"," 196,185 ",0.06,NaN,2803.25
8/7/2025,140.33,0.0168,"3,397.31"," 196,191 ",0.06,NaN,2861.34
8/6/2025,140.38,0.0168,"3,369.04"," 194,628 ",0.06,NaN,2856.63
8/5/2025,140.49,0.0168,"3,381.27"," 195,487 ",0.06,NaN,2906.24
8/4/2025,140.255,0.0168,"3,373.37"," 194,705 ",0.06,NaN,2890.05
8/1/2025,140.07,0.0168,"3,362.88"," 193,843 ",0.06,NaN,2923.88
